,country,beta,gamma,r_0
0,AFGHANISTAN,0.0001456785509550158,1e-08,14567.855095501578
1,ALBANIA,0.0002786150420188845,0.034728800308261934,0.008022593338837631
2,ALGERIA,0.00022008706758566162,0.016885092890340857,0.013034400759001022
3,ANDORRA,0.00023146968652407212,0.00019078707402165205,1.2132356854416828
4,ANGOLA,0.00018202212362946338,1e-08,18202.21236294634
5,ANTIGUA AND BARBUDA,0.00012096835108318531,1e-08,12096.83510831853
6,ARGENTINA,0.0003298818610948225,0.030804231710970503,0.010708978694551879
7,ARMENIA,0.00025069821346320603,0.010740337818395949,0.023341743779586942
8,AUSTRALIA,0.00013210749918335778,0.008026096255429402,0.016459745183592982
9,AUSTRIA,0.0003309249310571833,0.0189689979459779,0.01744556734096495
10,AZERBAIJAN,0.0001668141443525392,0.012970359985301206,0.01286118076457269
11,BAHAMAS,0.00018513776113073836,1e-08,18513.776113073836
12,BAHRAIN,0.0005081499689408897,0.3414502556722292,0.0014882108315908886
13,BANGLADESH,0.0001590602366812213,0.037582063381251175,0.0042323444316410995
14,BARBADOS,0.00023269399902263642,1e-08,23269.39990226364
15,BELARUS,0.00020701507394915903,0.04903982617073589,0.004221366389603835
16,BELGIUM,0.00024085048806021963,0.0599826003981846,0.004015339222730815
17,BELIZE,0.00014976408701535825,1e-08,14976.408701535825
18,BENIN,0.00014904264434550837,1e-08,14904.264434550838
19,BHUTAN,4.74826608335214e-05,1e-08,4748.2660833521395
20,BOLIVIA,0.0002101051249544621,1e-08,21010.512495446208
21,BOSNIA AND HERZEGOVINA,0.00022984728083368916,0.0034006120220555127,0.06758997478776103
22,BOTSWANA,0.001,0.001,1.0
23,BRAZIL,0.0003715451159194844,0.0012661411105961233,0.2934468463349665
24,BRUNEI,0.00029577669634583796,0.04075689344723579,0.0072570961947517635
25,BULGARIA,0.00024320387362660722,0.005066778448617972,0.04799970555115631
26,BURKINA FASO,0.00032198122221976217,0.025781075321856216,0.012489053237697915
27,BURMA,0.0001632819763935043,1e-08,16328.19763935043
28,CABO VERDE,0.00017515956464980267,1e-08,17515.956464980267
29,CAMBODIA,7.920173415510048e-05,0.005142310451357653,0.015401974444034188
30,CAMEROON,0.00021392435326813859,6.20286523677834e-05,3.4487989840522015
31,CANADA,0.0001624977949608791,0.013426414354369061,0.012102843743087748
32,CENTRAL AFRICAN REPUBLIC,9.052981442904546e-05,1e-08,9052.981442904545
33,CHAD,0.00013601631251031443,1e-08,13601.631251031442
34,CHILE,0.0004138495073735199,0.007532802711459485,0.05493964507313326
35,CHINA,0.15243233751701618,0.14700615232489272,1.036911279605028
36,COLOMBIA,0.0003451203066794114,0.002545828164137495,0.1355630798421681
37,CONGO (BRAZZAVILLE),0.00018286365030892977,1e-08,18286.365030892975
38,CONGO (KINSHASA),0.00023784252400572514,1e-08,23784.252400572514
39,COSTA RICA,0.00027245129705759575,0.000250969404727698,1.085595661962085
40,COTE D'IVOIRE,0.0002881181923517624,0.0026883533655078467,0.10717273854262648
41,CROATIA,0.00023800897790762776,0.00937651285197895,0.02538352814792922
42,CUBA,0.00022961063335929794,0.0004637990367046047,0.4950649207698501
43,CYPRUS,0.00025861461970281776,0.0133678891244712,0.019345957861768837
44,CZECHIA,0.00038382252633103407,0.0008056442135114485,0.4764169094669229
45,DENMARK,0.0004986458307232754,0.002459908784370482,0.202709073560581
46,DIAMOND PRINCESS,0.000131624010189573,0.024478677411035633,0.005377088311570029
47,DJIBOUTI,0.00025699620935954023,1e-08,25699.620935954023
48,DOMINICA,0.0003398678639848931,1e-08,33986.78639848931
49,DOMINICAN REPUBLIC,0.0002737760604231229,1e-08,27377.606042312287
50,ECUADOR,0.0002867716921436295,1e-08,28677.169214362948
51,EGYPT,0.00019148759789442755,0.029374160174917677,0.006518913111188691
52,EL SALVADOR,0.00031804585279892206,1e-08,31804.585279892206
53,EQUATORIAL GUINEA,0.00018780195994759022,1e-08,18780.195994759022
54,ERITREA,0.0002875671163971695,1e-08,28756.71163971695
55,ESTONIA,0.0002545683460874381,0.0028179653793549407,0.09033764146020533
56,ESWATINI,0.0001467636457928637,1e-08,14676.364579286368
57,ETHIOPIA,0.0001864517717330166,1e-08,18645.177173301658
58,FIJI,0.0001721183758621776,1e-08,17211.83758621776
59,FINLAND,0.00013913380278370155,0.0007795712367675992,0.1784747771872697
60,FRANCE,0.00028727366280511385,0.07287271692404079,0.003942129166181012
61,GABON,0.00012734804200114678,1e-08,12734.804200114679
62,GAMBIA,7.839655810738425e-05,1e-08,7839.655810738425
63,GEORGIA,0.000163545173741827,0.017480022932584532,0.009356118946329426
64,GERMANY,0.0003365521077538419,0.082130743261689,0.004097760404791457
65,GHANA,0.0002713766793156343,1e-08,27137.66793156343
66,GREECE,0.0003104066184162578,0.005323639824238701,0.05830721624009322
67,GRENADA,0.000300552959440073,1e-08,30055.2959440073
68,GUATEMALA,0.00026907793547942065,0.041941834607305016,0.0064155022783041376
69,GUINEA,0.00016429901203217026,1e-08,16429.901203217025
70,GUINEA-BISSAU,0.000201133197306536,1e-08,20113.3197306536
71,GUYANA,0.001,0.001,1.0
72,HAITI,0.00020339437595511003,1e-08,20339.437595511004
73,HOLY SEE,6.716529049671541e-05,1e-08,6716.5290496715415
74,HONDURAS,0.00022519771740162783,1e-08,22519.77174016278
75,HUNGARY,0.0002449864139339341,0.01717480618896019,0.014264289869623633
76,ICELAND,0.00032546636785798475,0.01590084852255041,0.020468490558627223
77,INDIA,0.0001371822275358257,0.00798003287811104,0.017190684503582923
78,INDONESIA,0.00032447623734893556,0.008090034107406888,0.04010814207221439
79,IRAN,0.001,0.001,1.0
80,IRAQ,0.0002539332316106616,0.05325506082990501,0.004768246015561157
81,IRELAND,0.00039625013882235087,0.0002406333060389979,1.646696981996886
82,ISRAEL,0.00028221431571178655,0.008466989878961197,0.03333112708839225
83,ITALY,0.010701212099471856,0.07483906464923379,0.1429896558652596
84,JAMAICA,0.00019544356282466134,1e-08,19544.356282466135
85,JAPAN,0.00015362194017641808,0.02073946848885601,0.007407226480223643
86,JORDAN,0.00023905361709150987,0.010234783060955639,0.023356979397391255
87,KAZAKHSTAN,0.00028604503349278457,0.011642457245936965,0.02456912896052161
88,KENYA,0.00023832450429545155,1e-08,23832.450429545155
89,"KOREA, SOUTH",0.00031667746359353624,0.0768956971602878,0.004118272872062365
90,KOSOVO,8.437805233023372e-05,1e-08,8437.805233023371
91,KUWAIT,0.0002136571702188071,0.039152371982664115,0.005457068356252087
92,KYRGYZSTAN,0.0003046372262313444,1e-08,30463.72262313444
93,LAOS,0.0002662138765799188,1e-08,26621.38765799188
94,LATVIA,0.00023658143161681697,1e-08,23658.143161681695
95,LEBANON,0.00019062407635209318,0.007989543772155924,0.023859194190340428
96,LIBERIA,9.76481768812297e-05,1e-08,9764.81768812297
97,LIBYA,0.00035598893980857705,1e-08,35598.893980857705
98,LIECHTENSTEIN,0.00017300364059866707,1e-08,17300.364059866708
99,LITHUANIA,0.0002214607990785055,1e-08,22146.079907850548
100,LUXEMBOURG,0.00036783238269617554,0.0025191491276699038,0.1460145327070825
101,MS ZAANDAM,1e-08,1e-08,1.0
102,MADAGASCAR,0.0002815106908780059,1e-08,28151.06908780059
103,MALAYSIA,0.0001385642038912203,0.015063472820741594,0.009198689142946161
104,MALDIVES,8.753119693051027e-05,0.029787640570891876,0.002938507221550293
105,MALI,0.0005171009658497741,1e-08,51710.09658497741
106,MALTA,0.0001927772921370964,1e-08,19277.72921370964
107,MAURITANIA,7.886690307517847e-05,1e-08,7886.690307517846
108,MAURITIUS,0.00033879725025469826,1e-08,33879.72502546982
109,MEXICO,0.0002619413091796044,0.001921467227394899,0.1363235893097907
110,MOLDOVA,0.0002859646140014405,0.0028282765403468343,0.10110914188270019
111,MONACO,0.0001323156790825024,1e-08,13231.56790825024
112,MONGOLIA,0.0001378050376334943,1e-08,13780.503763349428
113,MONTENEGRO,0.00032389996350003225,1e-08,32389.996350003225
114,MOROCCO,0.0002497078064429775,0.004291790787203179,0.05818266053124738
115,MOZAMBIQUE,0.0002951966561870017,1e-08,29519.66561870017
116,NAMIBIA,8.964601683182047e-05,1e-08,8964.601683182047
117,NEPAL,1e-08,1e-08,1.0
118,NETHERLANDS,0.000494092343974615,0.0035413932343105964,0.13951919803416013
119,NEW ZEALAND,0.0002398427589437512,0.01799358040363585,0.013329351555585218
120,NICARAGUA,0.00010316496223523045,1e-08,10316.496223523045
121,NIGER,0.0003158264369166873,1e-08,31582.64369166873
122,NIGERIA,0.00015606312652254633,0.0008395171397718909,0.18589629577420058
123,NORTH MACEDONIA,0.0001850874038427765,0.0009938787028343733,0.18622735683432864
124,NORWAY,0.0005386456142312608,0.00011469034081460675,4.696521175239719
125,OMAN,0.00015066514824866933,0.02367165926745777,0.006364790340480856
126,PAKISTAN,0.00029136473850365527,0.0029795165327923773,0.09778926725088205
127,PANAMA,0.00045604128875823056,9.217623579958605e-06,49.47493079992735
128,PAPUA NEW GUINEA,1e-08,1e-08,1.0
129,PARAGUAY,0.00019644732080855812,1e-08,19644.73208085581
130,PERU,0.00037221453832436734,0.004963627236974664,0.07498841483334927
131,PHILIPPINES,0.00013381308293510362,0.003229414352284641,0.04143571197063576
132,POLAND,0.00043891719502989283,0.00036617542862529183,1.1986527787451238
133,PORTUGAL,0.00043822199871739343,0.00268801253648536,0.1630282570372157
134,QATAR,0.0003138556202904896,0.008207821734292934,0.038238600989489786
135,ROMANIA,0.00031055460840437684,0.020953432285504878,0.014821180805743777
136,RUSSIA,0.0001264863834262391,0.003915146309159989,0.03230693655823485
137,RWANDA,0.00028849463632012564,1e-08,28849.463632012565
138,SAINT KITTS AND NEVIS,0.00017563936573409912,1e-08,17563.936573409912
139,SAINT LUCIA,0.00011343784697433522,1e-08,11343.784697433523
140,SAINT VINCENT AND THE GRENADINES,1e-08,1e-08,1.0
141,SAN MARINO,0.00019115778667582543,0.0032837087281743066,0.05821398988152836
142,SAUDI ARABIA,0.00036996289120542564,0.00752111627494971,0.049189891191769856
143,SENEGAL,0.0002113920436251423,0.02229187735118778,0.009482917938891257
144,SERBIA,0.00033435434472481334,1e-08,33435.434472481335
145,SEYCHELLES,0.00010155438223069491,1e-08,10155.438223069492
146,SINGAPORE,0.00037409392288948536,0.3047373125340666,0.0012275947430876728
147,SLOVAKIA,0.00027677331435888605,0.0012037856367488572,0.22991910345963745
148,SLOVENIA,0.0003225470122865751,0.001403523166617178,0.22981238924897085
149,SOMALIA,7.504661172551042e-05,1e-08,7504.661172551041
150,SOUTH AFRICA,0.0003976026755467954,0.0036622278273052925,0.10856852557951203
151,SPAIN,0.0004553283477265996,0.09959966112051297,0.00457158531067354
152,SRI LANKA,7.964273370562872e-05,0.0022534488960483925,0.03534259589613449
153,SUDAN,0.001,0.001,1.0
154,SURINAME,0.0001487078485441744,1e-08,14870.78485441744
155,SWEDEN,0.00019270163381486678,0.0005312402044152304,0.36273917563710306
156,SWITZERLAND,0.0004366457921688711,0.10678088827960348,0.004089175499510019
157,SYRIA,0.00027938683565018437,1e-08,27938.683565018437
158,TAIWAN*,9.817176520009538e-05,0.012082703797493027,0.008124983186334873
159,TANZANIA,0.00021757992749263063,1e-08,21757.992749263063
160,THAILAND,0.00011606591703020054,0.00950789852213425,0.012207315503000034
161,TIMOR-LESTE,1e-08,1e-08,1.0
162,TOGO,0.00014568791941086233,1e-08,14568.791941086232
163,TRINIDAD AND TOBAGO,0.0002537452191458739,1e-08,25374.52191458739
164,TUNISIA,0.0002414439060051987,1e-08,24144.39060051987
165,TURKEY,0.0006594404347310244,0.011870387101087712,0.05555340606125627
166,US,0.00020820147045207105,0.05208196034348976,0.003997573614336816
167,UGANDA,0.0004222758673578644,1e-08,42227.58673578644
168,UKRAINE,0.00025042163638101523,0.0010075169930145753,0.24855326323750898
169,UNITED ARAB EMIRATES,9.229928453931357e-05,0.010726321118588752,0.008604933930176544
170,UNITED KINGDOM,0.00017422096351540903,0.006451192414049175,0.02700600948376565
171,URUGUAY,0.00031916065908837294,1e-08,31916.065908837292
172,UZBEKISTAN,0.00036325238769008327,0.007423243269617521,0.048934458227555794
173,VENEZUELA,0.00036309050014925236,0.09589665866413187,0.0037862685228787717
174,VIETNAM,7.980630609077739e-05,0.013775517726536294,0.005793343500770466
175,WEST BANK AND GAZA,0.0001616676220051288,0.027376952989103764,0.005905245264857406
176,ZAMBIA,0.0002472748871596472,1e-08,24727.48871596472
177,ZIMBABWE,0.00019172811062792138,1e-08,19172.811062792138
