,Cases,Countries and territories,DateRep,Deaths
0,0.0,China,2020-01-11,1.0
1,0.0,China,2020-01-12,0.0
2,0.0,China,2020-01-13,0.0
3,0.0,China,2020-01-14,0.0
4,0.0,China,2020-01-15,1.0
5,0.0,China,2020-01-16,0.0
6,4.0,China,2020-01-17,0.0
7,17.0,China,2020-01-18,0.0
8,136.0,China,2020-01-19,1.0
9,19.0,China,2020-01-20,0.0
10,151.0,China,2020-01-21,3.0
11,140.0,China,2020-01-22,11.0
12,97.0,China,2020-01-23,0.0
13,259.0,China,2020-01-24,9.0
14,441.0,China,2020-01-25,15.0
15,665.0,China,2020-01-26,15.0
16,787.0,China,2020-01-27,25.0
17,1753.0,China,2020-01-28,25.0
18,1466.0,China,2020-01-29,26.0
19,1740.0,China,2020-01-30,38.0
20,1980.0,China,2020-01-31,43.0
21,2095.0,China,2020-02-01,46.0
22,2590.0,China,2020-02-02,45.0
23,2812.0,China,2020-02-03,57.0
24,3237.0,China,2020-02-04,65.0
25,3872.0,China,2020-02-05,66.0
26,3727.0,China,2020-02-06,72.0
27,3160.0,China,2020-02-07,73.0
28,3418.0,China,2020-02-08,86.0
29,2607.0,China,2020-02-09,89.0
30,2974.0,China,2020-02-10,97.0
31,2490.0,China,2020-02-11,108.0
32,2028.0,China,2020-02-12,97.0
33,15141.0,China,2020-02-13,254.0
34,4156.0,China,2020-02-14,13.0
35,2538.0,China,2020-02-15,143.0
36,2007.0,China,2020-02-16,142.0
37,2052.0,China,2020-02-17,105.0
38,1890.0,China,2020-02-18,98.0
39,1750.0,China,2020-02-19,139.0
40,394.0,China,2020-02-20,112.0
41,891.0,China,2020-02-21,118.0
42,826.0,China,2020-02-22,109.0
43,647.0,China,2020-02-23,98.0
44,218.0,China,2020-02-24,150.0
45,515.0,China,2020-02-25,70.0
46,410.0,China,2020-02-26,52.0
47,439.0,China,2020-02-27,29.0
48,329.0,China,2020-02-28,44.0
49,428.0,China,2020-02-29,47.0
50,574.0,China,2020-03-01,35.0
51,205.0,China,2020-03-02,42.0
52,127.0,China,2020-03-03,32.0
53,119.0,China,2020-03-04,37.0
54,117.0,China,2020-03-05,31.0
55,170.0,China,2020-03-06,30.0
56,101.0,China,2020-03-07,28.0
57,46.0,China,2020-03-08,27.0
58,45.0,China,2020-03-09,23.0
59,20.0,China,2020-03-10,17.0
60,29.0,China,2020-03-11,22.0
61,24.0,China,2020-03-12,11.0
62,22.0,China,2020-03-13,7.0
63,19.0,China,2020-03-14,15.0
64,22.0,China,2020-03-15,9.0
65,25.0,China,2020-03-16,14.0
66,110.0,China,2020-03-17,9.0
67,33.0,China,2020-03-18,16.0
68,75.0,China,2020-03-19,8.0
69,99.0,China,2020-03-20,4.0
70,79.0,China,2020-03-21,7.0
71,83.0,China,2020-03-22,6.0
72,150.0,China,2020-03-23,9.0
73,253.06524984176446,China,2020-03-24,6.459966009941289
74,294.53025950076454,China,2020-03-25,8.806719362558912
75,332.77157625416703,China,2020-03-26,9.962121147907924
0,62.0,Italy,2020-02-23,2.0
1,53.0,Italy,2020-02-24,0.0
2,97.0,Italy,2020-02-25,4.0
3,93.0,Italy,2020-02-26,5.0
4,78.0,Italy,2020-02-27,1.0
5,250.0,Italy,2020-02-28,5.0
6,238.0,Italy,2020-02-29,4.0
7,240.0,Italy,2020-03-01,8.0
8,561.0,Italy,2020-03-02,6.0
9,146.0,Italy,2020-03-03,17.0
10,667.0,Italy,2020-03-04,28.0
11,587.0,Italy,2020-03-05,27.0
12,769.0,Italy,2020-03-06,41.0
13,778.0,Italy,2020-03-07,49.0
14,1247.0,Italy,2020-03-08,36.0
15,1492.0,Italy,2020-03-09,133.0
16,1797.0,Italy,2020-03-10,98.0
17,977.0,Italy,2020-03-11,167.0
18,2313.0,Italy,2020-03-12,196.0
19,2651.0,Italy,2020-03-13,189.0
20,2547.0,Italy,2020-03-14,252.0
21,90.0,Italy,2020-03-15,173.0
22,6230.0,Italy,2020-03-16,370.0
23,4000.0,Italy,2020-03-17,347.0
24,3526.0,Italy,2020-03-18,347.0
25,4207.0,Italy,2020-03-19,473.0
26,5322.0,Italy,2020-03-20,429.0
27,5986.0,Italy,2020-03-21,625.0
28,6557.0,Italy,2020-03-22,795.0
29,5560.0,Italy,2020-03-23,649.0
30,6275.576122190571,Italy,2020-03-24,900.9407944974154
